reference,nom_csv,nom_site
HX_3M1547R,Suture cutanée adhésive Steri-Strip 100 x 12 mm,Suture cutanée adhésive Steri-Strip 100 x...
HX_3M3562E,"Medipore+Pad stérile avec compresse 5 x 7,2 cm",Medipore+Pad stérile avec compresse 5 x...
HX_3M1549R,Suture Cutanées adhésive Steri-Strip 50 x 12 cm,Suture Cutanées adhésive Steri-Strip 50 x...
HX_3M29912,Sparadrap multi-extensible Medipore 10 m x 10 cm,Sparadrap multi-extensible Medipore 10 m x...
HX_3M15352,"Sparadrap 3M™ Micropore™ avec devidoir 9,14 m x 5 cm",Sparadrap 3M™ Micropore™ avec devidoir...
HX_3MST5864BC,Stéthoscope Classic III - Edition Champagne - Double pavillon - Bordeaux,Stéthoscope Classic III - Edition...
HX_3MELE2239,Electrode de surveillance ronde - Support microporeux 3M™ Red Dot™,Electrode de surveillance ronde - Support...
HX_3MELE2228,Electrode de surveillance cardiaque hydrogel adhésif conducteur,Electrode de surveillance cardiaque...
HX_3MELE2560,Electrode de surveillance rectangle 3M™ Red Dot™,Electrode de surveillance rectangle 3M™...
HX_3MTON9660,"Lame de tondeuse à tête pivotante à usage unique 3M™, 9660",Lame de tondeuse à tête pivotante à usage...
HX_3M3590,Pansement adhésif stérile avec compresse Tegaderm+PAD,Pansement adhésif stérile avec compresse...
HX_3M40022,Kit pièces détachées stéthoscope - Master Classic II - Noir,Kit pièces détachées stéthoscope - Master...
HX_3MST2163B,Stéthoscope Master Cardiology - Simple pavillon - Bordeaux,Stéthoscope Master Cardiology - Simple...
HX_3MST6155V,Stéthoscope Cardiology IV - Double pavillon - Vert anglais,Stéthoscope Cardiology IV - Double...
HX_3MST5960PRM,Stéthoscope Classic III - Edition Miroir - Double pavillon - Prune / Rose,Stéthoscope Classic III - Edition Miroir -...
HX_3MST6165NR,Stéthoscope Cardiology IV - Rainbow Edition - Double pavillon - Noir,Stéthoscope Cardiology IV - Rainbow...
HX_3MST6205,Stéthoscope Cardiology IV - Rainbow Edition - Double pavillon - Prune,Stéthoscope Cardiology IV - Rainbow...
HX_3MEL2228BA,Electrodes Red Dot à pontet pour fiches banane,Electrodes Red Dot à pontet pour fiches...
HX_3M1657R,"Pansement de maintien Tegarderm 3M CHG IV 11,5 x 8,5 cm",Suture cutanée adhésive Steri-Strip 100 x...
HX_3M15300,"Sparadrap 3M™ Micropore™ 9,14 m x 1,25 cm sans devidoir","Sparadrap 3M™ Micropore™ 9,14 m x 1,25 cm..."
HX_3M15350,"Sparadrap 3M™ Micropore™ 9,14m x 1,25 cm avec devidoir","Sparadrap 3M™ Micropore™ 9,14m x 1,25 cm..."
HX_3M15271,"Sparadrap chirurgical 3M™ Transpore™  9,14 x 2,50 cm.","Sparadrap chirurgical 3M™ Transpore™  9,14..."
HX_3M15272,"Sparadrap chirurgical 3M™ Transpore™ 5 cm x 9,14 m sans dévidoir",Sparadrap chirurgical 3M™ Transpore™ 5 cm...
HX_3M15331CHAIR,"Sparadrap 3M™ Micropore™ 9,14 m x 2,50 cm sans devidoir","Sparadrap 3M™ Micropore™ 9,14 m x 2,50 cm..."
HX_3M16004,Rouleau de film transparent 3M™ Tegaderm™ non stérile 10 x 10 cm,Rouleau de film transparent 3M™ Tegaderm™...
HX_3MST2176,Stéthoscope Master Cardiology - Simple pavillon - Noir,Master Cardiologie Littmann® Modèle Smoke...
HX_3MST6200,Stéthoscope Cardiology IV - Black Edition - Double pavillon - Noir/Rouge,Stéthoscope Cardiology IV - Black Edition...
HX_3MST6201,Stéthoscope Cardiology IV - Black Edition - Double pavillon - Noir/Bleu,Stéthoscope Cardiology IV - Black Edition...
